"Country Name","Country Code","Region","Income_Group",
"Dominica","DMA","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Dinamarca","DNK","","Ingreso alto",
"República Dominicana","DOM","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Argelia","DZA","Oriente Medio y Norte de África (excluido altos ingresos)","Países de ingreso mediano bajo",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","","Agregados",
"inicial del dividendo demográfico","EAR","","Agregados",
"Asia oriental y el Pacífico ","EAS","","Agregados",
"Europa y Asia central (excluido altos ingresos)","ECA","","Agregados",
"Europa y Asia central","ECS","","Agregados",
"Ecuador","ECU","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Egipto, República Árabe de","EGY","Oriente Medio y Norte de África (excluido altos ingresos)","Países de ingreso mediano bajo",
"Zona del Euro","EMU","","Agregados",
"Eritrea","ERI","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"España","ESP","","Ingreso alto",
"Estonia","EST","","Ingreso alto",
"Etiopía","ETH","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Unión Europea","EUU","","Agregados",
"Frágiles y situaciones de conflicto afectados
","FCS","","Agregados",
"Finlandia","FIN","","Ingreso alto",
"Fiji","FJI","Asia oriental y el Pacífico (excluido altos ingresos)","Ingreso mediano alto",
"Francia","FRA","","Ingreso alto",
"Islas Feroe","FRO","","Ingreso alto",
"Micronesia (Estados Federados de)","FSM","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso mediano bajo",
"Gabón","GAB","África al sur del Sahara (excluido altos ingresos)","Ingreso mediano alto",
"Reino Unido","GBR","","Ingreso alto",
"Georgia","GEO","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Ghana","GHA","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Gibraltar","GIB","","Ingreso alto",
"Guinea","GIN","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Gambia","GMB","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Guinea-Bissau","GNB","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Guinea Ecuatorial","GNQ","África al sur del Sahara (excluido altos ingresos)","Ingreso mediano alto",
"Grecia","GRC","","Ingreso alto",
"Granada","GRD","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Groenlandia","GRL","","Ingreso alto",
"Guatemala","GTM","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Guam","GUM","","Ingreso alto",
"Guyana","GUY","","Ingreso alto",
"Ingreso alto","HIC","","Agregados",
"Hong Kong, Región Administrativa Especial","HKG","","Ingreso alto",
"Honduras","HND","América Latina y el Caribe (excluido altos ingresos)","Países de ingreso mediano bajo",
"Países pobres muy endeudados (PPME)","HPC","","Agregados",
"Croacia","HRV","","Ingreso alto",
"Haití","HTI","América Latina y el Caribe (excluido altos ingresos)","Países de ingreso mediano bajo",
"Hungría","HUN","","Ingreso alto",
"Sólo BIRF","IBD","","Agregados",
"BIRF y la AIF","IBT","","Agregados",
"total de la AIF","IDA","","Agregados",
"mezcla de la AIF","IDB","","Agregados",
"Indonesia","IDN","Asia oriental y el Pacífico (excluido altos ingresos)","Ingreso mediano alto",
"Sólo AIF","IDX","","Agregados",
"Isla de Man","IMN","","Ingreso alto",
"India","IND","Asia meridional","Países de ingreso mediano bajo",
"No clasificado","INX","","Agregados",
"Irlanda","IRL","","Ingreso alto",
"Irán, República Islámica del","IRN","Oriente Medio y Norte de África (excluido altos ingresos)","Países de ingreso mediano bajo",
"Iraq","IRQ","Oriente Medio y Norte de África (excluido altos ingresos)","Ingreso mediano alto",
"Islandia","ISL","","Ingreso alto",
"Israel","ISR","","Ingreso alto",
"Italia","ITA","","Ingreso alto",
"Jamaica","JAM","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Jordania","JOR","Oriente Medio y Norte de África (excluido altos ingresos)","Países de ingreso mediano bajo",
"Japón","JPN","","Ingreso alto",
"Kazajstán","KAZ","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Kenya","KEN","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Kirguistán","KGZ","Europa y Asia central (excluido altos ingresos)","Países de ingreso mediano bajo",
"Camboya","KHM","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso mediano bajo",
"Kiribati","KIR","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso mediano bajo",
"Saint Kitts y Nevis","KNA","","Ingreso alto",
"Corea, República de","KOR","","Ingreso alto",
"Kuwait","KWT","","Ingreso alto",
"América Latina y el Caribe (excluido altos ingresos)","LAC","","Agregados",
"República Democrática Popular Lao","LAO","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso mediano bajo",
"Líbano","LBN","Oriente Medio y Norte de África (excluido altos ingresos)","Países de ingreso mediano bajo",
"Liberia","LBR","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Libia","LBY","Oriente Medio y Norte de África (excluido altos ingresos)","Ingreso mediano alto",
"Santa Lucía","LCA","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"América Latina y el Caribe ","LCN","","Agregados",
"Países menos desarrollados: clasificación de las Naciones Unidas","LDC","","Agregados",
"Países de ingreso bajo","LIC","","Agregados",
"Liechtenstein","LIE","","Ingreso alto",
"Sri Lanka","LKA","Asia meridional","Países de ingreso mediano bajo",
"Países de ingreso mediano bajo","LMC","","Agregados",
"Ingreso mediano y bajo","LMY","","Agregados",
"Lesotho","LSO","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"avanzada del dividendo demográfico","LTE","","Agregados",
"Lituania","LTU","","Ingreso alto",
"Luxemburgo","LUX","","Ingreso alto",
"Letonia","LVA","","Ingreso alto",
"Región Administrativa Especial de Macao, China","MAC","","Ingreso alto",
"Isla de San Martín (parte francesa)","MAF","","Ingreso alto",
"Marruecos","MAR","Oriente Medio y Norte de África (excluido altos ingresos)","Países de ingreso mediano bajo",
"Mónaco","MCO","","Ingreso alto",
"República de Moldova","MDA","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Madagascar","MDG","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Maldivas","MDV","Asia meridional","Ingreso mediano alto",
"Oriente Medio y Norte de África","MEA","","Agregados",
"México","MEX","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Islas Marshall","MHL","Asia oriental y el Pacífico (excluido altos ingresos)","Ingreso mediano alto",
" Ingreso mediano","MIC","","Agregados",
"Macedonia del Norte","MKD","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Malí","MLI","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Malta","MLT","","Ingreso alto",
"Myanmar","MMR","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso mediano bajo",
"Oriente Medio y Norte de África (excluido altos ingresos)","MNA","","Agregados",
"Montenegro","MNE","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Mongolia","MNG","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso mediano bajo",
"Mariana","MNP","","Ingreso alto",
"Mozambique","MOZ","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Mauritania","MRT","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Mauricio","MUS","África al sur del Sahara (excluido altos ingresos)","Ingreso mediano alto",
"Malawi","MWI","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Malasia","MYS","Asia oriental y el Pacífico (excluido altos ingresos)","Ingreso mediano alto",
"América del Norte","NAC","","Agregados",
"Namibia","NAM","África al sur del Sahara (excluido altos ingresos)","Ingreso mediano alto",
"Nueva Caledonia","NCL","","Ingreso alto",
"Níger","NER","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Nigeria","NGA","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Nicaragua","NIC","América Latina y el Caribe (excluido altos ingresos)","Países de ingreso mediano bajo",
"Países Bajos","NLD","","Ingreso alto",
"Noruega","NOR","","Ingreso alto",
"Nepal","NPL","Asia meridional","Países de ingreso mediano bajo",
"Nauru","NRU","","Ingreso alto",
"Nueva Zelandia","NZL","","Ingreso alto",
"Miembros OCDE","OED","","Agregados",
"Omán","OMN","","Ingreso alto",
"Otros Estados pequeos","OSS","","Agregados",
"Pakistán","PAK","Asia meridional","Países de ingreso mediano bajo",
"Panamá","PAN","","Ingreso alto",
"Perú","PER","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Filipinas","PHL","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso mediano bajo",
"Palau","PLW","Asia oriental y el Pacífico (excluido altos ingresos)","Ingreso mediano alto",
"Papua Nueva Guinea","PNG","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso mediano bajo",
"Polonia","POL","","Ingreso alto",
"previa al dividendo demográfico","PRE","","Agregados",
"Puerto Rico","PRI","","Ingreso alto",
"Corea, República Popular Democrática de","PRK","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso bajo",
"Portugal","PRT","","Ingreso alto",
"Paraguay","PRY","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Ribera Occidental y Gaza","PSE","Oriente Medio y Norte de África (excluido altos ingresos)","Ingreso mediano alto",
"Estados pequeos de las Islas del Pacfico","PSS","","Agregados",
"posterior al dividendo demográfico","PST","","Agregados",
"Polinesia Francesa","PYF","","Ingreso alto",
"Qatar","QAT","","Ingreso alto",
"Rumania","ROU","","Ingreso alto",
"Federación de Rusia","RUS","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Rwanda","RWA","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Asia meridional","SAS","","Agregados",
"Arabia Saudita","SAU","","Ingreso alto",
"Sudán","SDN","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Senegal","SEN","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Singapur","SGP","","Ingreso alto",
"Islas Salomón","SLB","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso mediano bajo",
"Sierra Leona","SLE","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"El Salvador","SLV","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"San Marino","SMR","","Ingreso alto",
"Somalia","SOM","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Serbia","SRB","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"África al sur del Sahara (excluido altos ingresos)","SSA","","Agregados",
"Sudán del Sur","SSD","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"África al sur del Sahara","SSF","","Agregados",
"Pequeños Estados","SST","","Agregados",
"Santo Tomé y Príncipe","STP","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Suriname","SUR","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"República Eslovaca","SVK","","Ingreso alto",
"Eslovenia","SVN","","Ingreso alto",
"Suecia","SWE","","Ingreso alto",
"Eswatini","SWZ","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Sint Maarten (Dutch part)","SXM","","Ingreso alto",
"Seychelles","SYC","","Ingreso alto",
"República Árabe Siria","SYR","Oriente Medio y Norte de África (excluido altos ingresos)","Países de ingreso bajo",
"Islas Turcas y Caicos","TCA","","Ingreso alto",
"Chad","TCD","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Asia oriental y el Pacífico (BIRF y la AIF)","TEA","","Agregados",
"Europa y Asia central (BIRF y la AIF)","TEC","","Agregados",
"Togo","TGO","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Tailandia","THA","Asia oriental y el Pacífico (excluido altos ingresos)","Ingreso mediano alto",
"Tayikistán","TJK","Europa y Asia central (excluido altos ingresos)","Países de ingreso mediano bajo",
"Turkmenistán","TKM","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"América Latina y el Caribe (BIRF y la AIF)","TLA","","Agregados",
"Timor-Leste","TLS","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso mediano bajo",
"Oriente Medio y Norte de África (BIRF y la AIF)","TMN","","Agregados",
"Tonga","TON","Asia oriental y el Pacífico (excluido altos ingresos)","Ingreso mediano alto",
"Asia meridional (BIRF y la AIF)","TSA","","Agregados",
"África al sur del Sahara (BIRF y la AIF)","TSS","","Agregados",
"Trinidad y Tobago","TTO","","Ingreso alto",
"Túnez","TUN","Oriente Medio y Norte de África (excluido altos ingresos)","Países de ingreso mediano bajo",
"Turquía","TUR","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Tuvalu","TUV","Asia oriental y el Pacífico (excluido altos ingresos)","Ingreso mediano alto",
"Tanzanía","TZA","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Uganda","UGA","África al sur del Sahara (excluido altos ingresos)","Países de ingreso bajo",
"Ucrania","UKR","Europa y Asia central (excluido altos ingresos)","Países de ingreso mediano bajo",
"Ingreso mediano alto","UMC","","Agregados",
"Uruguay","URY","","Ingreso alto",
"Estados Unidos","USA","","Ingreso alto",
"Uzbekistán","UZB","Europa y Asia central (excluido altos ingresos)","Países de ingreso mediano bajo",
"San Vicente y las Granadinas","VCT","América Latina y el Caribe (excluido altos ingresos)","Ingreso mediano alto",
"Venezuela","VEN","","No clasificado",
"Islas Vírgenes Británicas","VGB","","Ingreso alto",
"Islas Vírgenes (EE.UU.)","VIR","","Ingreso alto",
"Viet Nam","VNM","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso mediano bajo",
"Vanuatu","VUT","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso mediano bajo",
"Mundo","WLD","","Agregados",
"Samoa","WSM","Asia oriental y el Pacífico (excluido altos ingresos)","Países de ingreso mediano bajo",
"Kosovo","XKX","Europa y Asia central (excluido altos ingresos)","Ingreso mediano alto",
"Yemen, Rep. del","YEM","Oriente Medio y Norte de África (excluido altos ingresos)","Países de ingreso bajo",
"Sudáfrica","ZAF","África al sur del Sahara (excluido altos ingresos)","Ingreso mediano alto",
"Zambia","ZMB","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
"Zimbabwe","ZWE","África al sur del Sahara (excluido altos ingresos)","Países de ingreso mediano bajo",
